Episode;Time;Character;Type of Roll;Total Value;Natural Value;Crit?;Damage Dealt;# Kills;Notes
C2E001;00:35:40;Fjord;Perception;Nat20;20;;;;
C2E001;00:39:22;Jester;Perception;22;19;;;;
C2E001;00:39:30;Beau;Perception;19;16;;;;
C2E001;00:43:04;Beau;Insight;13;8;;;;
C2E001;00:50:37;Molly;Insight;16;11;;;;
C2E001;00:51:00;Molly;Sleight of Hand;16;11;;;;
C2E001;00:51:25;Nott;Perception;14;14;;;;
C2E001;00:52:13;Molly;Sleight of Hand;19;14;;;;
C2E001;00:53:09;Molly;Sleight of Hand;14;9;;;;
C2E001;01:06:50;Nott;Sleight of Hand;20;12;;;;
C2E001;01:06:57;Jester;Perception;Unknown;Unknown;;;;
C2E001;01:07:34;Jester;Sleight of Hand;13;8;;;;
C2E001;01:07:35;Nott;Perception;Unknown;Unknown;;;;
C2E001;01:08:50;Nott;Other;Unknown;Unknown;;;;Crick Queen's Call
C2E001;01:08:50;Nott;Other;Unknown;Unknown;;;;Crick Queen's Call
C2E001;01:08:50;Nott;Other;Unknown;Unknown;;;;Crick Queen's Call
C2E001;01:08:52;Jester;Other;5;;;;;Crick Queen's Call
C2E001;01:08:52;Jester;Other;5;;;;;Crick Queen's Call
C2E001;01:08:52;Jester;Other;5;;;;;Crick Queen's Call
C2E001;01:09:11;Nott;Acrobatics;24;18;;;;
C2E001;01:09:13;Beau;Athletics;14;10;;;;
C2E001;01:15:43;Fjord;Insight;13;15;;;;
C2E001;01:15:53;Nott;Deception;11;14;;;;
C2E001;01:20:25;Nott;Constitution Save;12;10;;;;
C2E001;01:21:23;Caleb;Investigation;12;6;;;;
C2E001;01:24:17;Jester;Sleight of Hand;Nat20;20;;;;
C2E001;01:55:10;Jester;Perception;8;5;;;;
C2E001;01:55:16;Beau;Insight;Nat20;20;;;;
C2E001;01:57:57;Yasha;Investigation;Unknown;Unknown;;;;Disregarded due to advantage
C2E001;01:57:57;Yasha;Investigation;12;;;;;With advantage
C2E001;01:58:37;Nott;Sleight of Hand;12;4;;;;
C2E001;02:01:15;Fjord;Perception;11;11;;;;
C2E001;02:24:32;Beau;Initiative;Nat1;1;;;;
C2E001;02:25:23;Jester;Initiative;22;19;;;;
C2E001;02:25:31;Molly;Initiative;10;7;;;;
C2E001;02:25:33;Nott;Initiative;10;6;;;;
C2E001;02:25:34;Fjord;Initiative;12;12;;;;
C2E001;02:25:34;Yasha;Initiative;13;11;;;;
C2E001;02:25:35;Caleb;Initiative;11;10;;;;
C2E001;02:26:51;Jester;Spell Attack;16;11;;;;Guiding Bolt
C2E001;02:27:04;Jester;Damage;18;;;18 to Creature 1;;
C2E001;02:30:29;Fjord;Attack;Nat1;1;;;;Disregarded due to advantage
C2E001;02:30:29;Fjord;Attack;18;12;;;;Falchion with advantage
C2E001;02:30:42;Fjord;Damage;11;;;11 to Creature 1;;
C2E001;02:31:17;Caleb;Spell Attack;17;11;;;;Chromatic Orb (Cold)
C2E001;02:31:44;Caleb;Damage;9;;;9 Cold to Creature 1;;
C2E001;02:33:07;Nott;Performance;15;18;;;;
C2E001;02:34:29;Beau;Athletics;7;3;;;;
C2E001;02:35:08;Beau;Attack;20;14;;;;Unarmed Strike
C2E001;02:35:18;Beau;Attack;15;9;;;;Unarmed Strike
C2E001;02:35:25;Beau;Damage;11;;;11 to Creature 1;;
C2E001;02:36:28;Caleb;Dexterity Save;17;16;;;;
C2E001;02:36:28;Nott;Dexterity Save;15;9;;;;
C2E001;02:39:04;Molly;Attack;21;16;;;;Sword
C2E001;02:39:10;Molly;Damage;9;;;9 (8 + 1 Cold) to Creature 1;;
C2E001;02:40:38;Jester;Damage;3;;;3 Necrotic to Creature 1;;Toll the Dead
C2E001;02:43:23;Fjord;Attack;16;10;;;;Falchion AoO
C2E001;02:43:30;Fjord;Damage;12;;;12 to Creature 2;;
C2E001;02:45:29;Yasha;Attack;Unknown;Unknown;;;;Disreagrded due to advantage
C2E001;02:45:29;Yasha;Attack;17;12;;;;Greatsword Reckless
C2E001;02:45:50;Yasha;Damage;13;;;13 to Creature 1;1;
C2E001;02:47:53;Fjord;Attack;21;15;;;;Falchion
C2E001;02:47:58;Fjord;Damage;17;;;17 (12 + 5 Necrotic) to Creature 2;;
C2E001;02:48:54;Caleb;Spell Attack;11;5;;;;Chromatic Orb (Acid)
C2E001;02:49:54;Nott;Attack;16;10;;;;Crossbow Sneak Attack
C2E001;02:50:04;Nott;Damage;14;;;14 (10 + 4 SA) to Creature 2;;
C2E001;02:51:15;Nott;Perception;9;9;;;;
C2E001;02:51:58;Molly;Attack;12;7;;;;Sword
C2E001;02:52:07;Molly;Attack;21;16;;;;Sword
C2E001;02:52:16;Molly;Damage;4;;;4 to Creature 2;;
C2E001;02:52:26;Molly;Damage;9;;;9 (6 + 3 Cold) to Creature 2;;
C2E001;02:53:22;Beau;Attack;16;10;;;;Unarmed Strike
C2E001;02:53:37;Beau;Damage;6;;;6 to Creature 2;;
C2E001;02:54:20;Beau;Attack;25;19;;;;Unarmed Strike
C2E001;02:54:21;Beau;Attack;24;18;;;;Unarmed Strike
C2E001;02:54:30;Beau;Damage;13;;;13 to Creature 2;1;HDYWTDT
C2E001;02:57:07;Jester;Healing;7;;;;;Cure Wounds (1st), Beau heals 7 points
C2E001;02:57:13;Jester;Healing;10;;;;;Cure Wounds (1st), Molly heals 10 points
C2E001;02:58:57;Jester;Deception;19;16;;;;
C2E001;03:00:16;Jester;Investigation;14;13;;;;
C2E001;03:02:19;Molly;Deception;8;6;;;;
C2E001;03:02:38;Jester;Sleight of Hand;Nat1;1;;;;
C2E001;03:03:39;Jester;Deception;16;13;;;;
C2E001;03:08:55;Molly;Deception;Nat1;1;;;;
C2E002;00:16:59;Beau;Stealth;17;11;;;;
C2E002;00:18:05;Beau;Perception;21;18;;;;
C2E002;00:20:05;Beau;Animal Handling;11;8;;;;
C2E002;00:20:45;Beau;Stealth;19;13;;;;
C2E002;00:21:36;Beau;Stealth;10;4;;;;
C2E002;00:25:10;Beau;Athletics;10;8;;;;
C2E002;00:31:12;Molly;Persuasion;Nat20;20;;;;
C2E002;00:40:49;Fjord;Persuasion;16;12;;;;
C2E002;00:42:40;Fjord;Deception;24;18;;;;
C2E002;00:54:52;Beau;Insight;Nat20;20;;;;
C2E002;01:02:01;Beau;Investigation;16;15;;;;
C2E002;01:02:02;Molly;Investigation;16;16;;;;
C2E002;01:06:14;Nott;Sleight of Hand;11;3;;;;
C2E002;01:10:22;Beau;Perception;21;18;;;;
C2E002;01:18:12;Jester;Medicine;17;12;;;;
C2E002;01:25:42;Fjord;Insight;15;17;;;;
C2E002;01:25:50;Molly;Deception;Unknown;Unknown;;;;
C2E002;01:34:01;Jester;Dexterity;Unknown;Unknown;;;;Disregarded due to advantage
C2E002;01:34:01;Jester;Dexterity;15;12;;;;With advantage
C2E002;01:36:12;Molly;Dexterity;Unknown;Unknown;;;;Disregarded due to advantage
C2E002;01:36:12;Molly;Dexterity;Nat20;20;;;;With advantage
C2E002;01:40:13;Molly;Perception;14;11;;;;
C2E002;01:41:09;Fjord;Performance;20;16;;;;
C2E002;01:41:13;Beau;Performance;16;15;;;;
C2E002;01:41:47;Molly;Performance;Nat20;20;;;;
C2E002;01:45:05;Jester;Investigation;16;15;;;;
C2E002;01:50:06;Jester;Deception;17;14;;;;
C2E002;01:54:05;Jester;Investigation;12;11;;;;
C2E002;02:22:47;Jester;Perception;11;8;;;;
C2E002;02:22:50;Fjord;Perception;11;11;;;;
C2E002;02:31:47;Molly;Nature;9;9;;;;
C2E002;02:38:48;Caleb;Investigation;12;6;;;;With advantage
C2E002;02:38:48;Caleb;Investigation;Unknown;Unknown;;;;Disregarded due to advantage
C2E002;02:44:55;Caleb;Investigation;21;15;;;;
C2E002;02:45:02;Nott;Investigation;21;16;;;;
C2E002;02:51:05;Nott;Sleight of Hand;22;14;;;;
C2E002;02:51:55;Nott;Sleight of Hand;20;12;;;;
C2E002;03:07:31;Nott;Stealth;21;13;;;;
C2E002;03:07:31;Fjord;Stealth;15;15;;;;
C2E002;03:07:31;Beau;Stealth;19;13;;;;
C2E002;03:07:31;Molly;Stealth;17;14;;;;
C2E002;03:07:31;Jester;Stealth;21;18;;;;
C2E002;03:07:31;Caleb;Stealth;12;11;;;;
C2E002;03:09:14;Jester;Perception;Nat1;1;;;;
C2E002;03:09:14;Nott;Perception;19;19;;;;
C2E002;03:09:14;Molly;Perception;12;9;;;;
C2E002;03:09:14;Fjord;Perception;9;9;;;;
C2E002;03:09:14;Beau;Perception;18;15;;;;
C2E002;03:09:14;Caleb;Perception;10;7;;;;
C2E002;03:10:55;Molly;Intelligence;17;17;;;;
C2E002;03:12:44;Jester;Performance;4;3;;;;
C2E002;03:13:38;Nott;Stealth;13;5;;;;
C2E002;03:13:38;Fjord;Stealth;9;9;;;;
C2E002;03:13:38;Beau;Stealth;9;3;;;;
C2E002;03:13:38;Molly;Stealth;7;4;;;;
C2E002;03:13:38;Jester;Stealth;19;16;;;;
C2E002;03:13:38;Caleb;Stealth;15;14;;;;
C2E002;03:15:48;Nott;Deception;0;3;;;;Disregarded due to advantage
C2E002;03:15:48;Nott;Deception;4;7;;;;With advantage
C2E002;03:17:42;Caleb;Deception;Nat20;20;;;;
C2E002;03:22:18;Fjord;Deception;13;7;;;;
C2E002;03:24:44;Caleb;Religion;10;;;;;
