Episode,Time,Character,roll_type,tot_value,nat_value,num_kills
1,00:35:40,Fjord,Perception,20.0,20.0,0.0
1,00:39:22,Jester,Perception,22.0,19.0,0.0
1,00:39:30,Beau,Perception,19.0,16.0,0.0
1,00:43:04,Beau,Insight,13.0,8.0,0.0
1,00:50:37,Molly,Insight,16.0,11.0,0.0
1,00:51:00,Molly,Sleight of Hand,16.0,11.0,0.0
1,00:51:25,Nott,Perception,14.0,14.0,0.0
1,00:52:13,Molly,Sleight of Hand,19.0,14.0,0.0
1,00:53:09,Molly,Sleight of Hand,14.0,9.0,0.0
1,01:06:50,Nott,Sleight of Hand,20.0,12.0,0.0
1,01:06:57,Jester,Perception,,,0.0
1,01:07:34,Jester,Sleight of Hand,13.0,8.0,0.0
1,01:07:35,Nott,Perception,,,0.0
1,01:08:50,Nott,Other,,,0.0
1,01:08:50,Nott,Other,,,0.0
1,01:08:50,Nott,Other,,,0.0
1,01:08:52,Jester,Other,5.0,,0.0
1,01:08:52,Jester,Other,5.0,,0.0
1,01:08:52,Jester,Other,5.0,,0.0
1,01:09:11,Nott,Acrobatics,24.0,18.0,0.0
1,01:09:13,Beau,Athletics,14.0,10.0,0.0
1,01:15:43,Fjord,Insight,13.0,15.0,0.0
1,01:15:53,Nott,Deception,11.0,14.0,0.0
1,01:20:25,Nott,Constitution Save,12.0,10.0,0.0
1,01:21:23,Caleb,Investigation,12.0,6.0,0.0
1,01:24:17,Jester,Sleight of Hand,20.0,20.0,0.0
1,01:55:10,Jester,Perception,8.0,5.0,0.0
1,01:55:16,Beau,Insight,20.0,20.0,0.0
1,01:57:57,Yasha,Investigation,,,0.0
1,01:57:57,Yasha,Investigation,12.0,,0.0
1,01:58:37,Nott,Sleight of Hand,12.0,4.0,0.0
1,02:01:15,Fjord,Perception,11.0,11.0,0.0
1,02:24:32,Beau,Initiative,1.0,1.0,0.0
1,02:25:23,Jester,Initiative,22.0,19.0,0.0
1,02:25:31,Molly,Initiative,10.0,7.0,0.0
1,02:25:33,Nott,Initiative,10.0,6.0,0.0
1,02:25:34,Fjord,Initiative,12.0,12.0,0.0
1,02:25:34,Yasha,Initiative,13.0,11.0,0.0
1,02:25:35,Caleb,Initiative,11.0,10.0,0.0
1,02:26:51,Jester,Spell Attack,16.0,11.0,0.0
1,02:27:04,Jester,Damage,18.0,,0.0
1,02:30:29,Fjord,Attack,1.0,1.0,0.0
1,02:30:29,Fjord,Attack,18.0,12.0,0.0
1,02:30:42,Fjord,Damage,11.0,,0.0
1,02:31:17,Caleb,Spell Attack,17.0,11.0,0.0
1,02:31:44,Caleb,Damage,9.0,,0.0
1,02:33:07,Nott,Performance,15.0,18.0,0.0
1,02:34:29,Beau,Athletics,7.0,3.0,0.0
1,02:35:08,Beau,Attack,20.0,14.0,0.0
1,02:35:18,Beau,Attack,15.0,9.0,0.0
1,02:35:25,Beau,Damage,11.0,,0.0
1,02:36:28,Caleb,Dexterity Save,17.0,16.0,0.0
1,02:36:28,Nott,Dexterity Save,15.0,9.0,0.0
1,02:39:04,Molly,Attack,21.0,16.0,0.0
1,02:39:10,Molly,Damage,9.0,,0.0
1,02:40:38,Jester,Damage,3.0,,0.0
1,02:43:23,Fjord,Attack,16.0,10.0,0.0
1,02:43:30,Fjord,Damage,12.0,,0.0
1,02:45:29,Yasha,Attack,,,0.0
1,02:45:29,Yasha,Attack,17.0,12.0,0.0
1,02:45:50,Yasha,Damage,13.0,,1.0
1,02:47:53,Fjord,Attack,21.0,15.0,0.0
1,02:47:58,Fjord,Damage,17.0,,0.0
1,02:48:54,Caleb,Spell Attack,11.0,5.0,0.0
1,02:49:54,Nott,Attack,16.0,10.0,0.0
1,02:50:04,Nott,Damage,14.0,,0.0
1,02:51:15,Nott,Perception,9.0,9.0,0.0
1,02:51:58,Molly,Attack,12.0,7.0,0.0
1,02:52:07,Molly,Attack,21.0,16.0,0.0
1,02:52:16,Molly,Damage,4.0,,0.0
1,02:52:26,Molly,Damage,9.0,,0.0
1,02:53:22,Beau,Attack,16.0,10.0,0.0
1,02:53:37,Beau,Damage,6.0,,0.0
1,02:54:20,Beau,Attack,25.0,19.0,0.0
1,02:54:21,Beau,Attack,24.0,18.0,0.0
1,02:54:30,Beau,Damage,13.0,,1.0
1,02:57:07,Jester,Healing,7.0,,0.0
1,02:57:13,Jester,Healing,10.0,,0.0
1,02:58:57,Jester,Deception,19.0,16.0,0.0
1,03:00:16,Jester,Investigation,14.0,13.0,0.0
1,03:02:19,Molly,Deception,8.0,6.0,0.0
1,03:02:38,Jester,Sleight of Hand,1.0,1.0,0.0
1,03:03:39,Jester,Deception,16.0,13.0,0.0
1,03:08:55,Molly,Deception,1.0,1.0,0.0
2,00:16:59,Beau,Stealth,17.0,11.0,0.0
2,00:18:05,Beau,Perception,21.0,18.0,0.0
2,00:20:05,Beau,Animal Handling,11.0,8.0,0.0
2,00:20:45,Beau,Stealth,19.0,13.0,0.0
2,00:21:36,Beau,Stealth,10.0,4.0,0.0
2,00:25:10,Beau,Athletics,10.0,8.0,0.0
2,00:31:12,Molly,Persuasion,20.0,20.0,0.0
2,00:40:49,Fjord,Persuasion,16.0,12.0,0.0
2,00:42:40,Fjord,Deception,24.0,18.0,0.0
2,00:54:52,Beau,Insight,20.0,20.0,0.0
2,01:02:01,Beau,Investigation,16.0,15.0,0.0
2,01:02:02,Molly,Investigation,16.0,16.0,0.0
2,01:06:14,Nott,Sleight of Hand,11.0,3.0,0.0
2,01:10:22,Beau,Perception,21.0,18.0,0.0
2,01:18:12,Jester,Medicine,17.0,12.0,0.0
2,01:25:42,Fjord,Insight,15.0,17.0,0.0
2,01:25:50,Molly,Deception,,,0.0
2,01:34:01,Jester,Dexterity,,,0.0
2,01:34:01,Jester,Dexterity,15.0,12.0,0.0
2,01:36:12,Molly,Dexterity,,,0.0
2,01:36:12,Molly,Dexterity,20.0,20.0,0.0
2,01:40:13,Molly,Perception,14.0,11.0,0.0
2,01:41:09,Fjord,Performance,20.0,16.0,0.0
2,01:41:13,Beau,Performance,16.0,15.0,0.0
2,01:41:47,Molly,Performance,20.0,20.0,0.0
2,01:45:05,Jester,Investigation,16.0,15.0,0.0
2,01:50:06,Jester,Deception,17.0,14.0,0.0
2,01:54:05,Jester,Investigation,12.0,11.0,0.0
2,02:22:47,Jester,Perception,11.0,8.0,0.0
2,02:22:50,Fjord,Perception,11.0,11.0,0.0
2,02:31:47,Molly,Nature,9.0,9.0,0.0
2,02:38:48,Caleb,Investigation,12.0,6.0,0.0
2,02:38:48,Caleb,Investigation,,,0.0
2,02:44:55,Caleb,Investigation,21.0,15.0,0.0
2,02:45:02,Nott,Investigation,21.0,16.0,0.0
2,02:51:05,Nott,Sleight of Hand,22.0,14.0,0.0
2,02:51:55,Nott,Sleight of Hand,20.0,12.0,0.0
2,03:07:31,Nott,Stealth,21.0,13.0,0.0
2,03:07:31,Fjord,Stealth,15.0,15.0,0.0
2,03:07:31,Beau,Stealth,19.0,13.0,0.0
2,03:07:31,Molly,Stealth,17.0,14.0,0.0
2,03:07:31,Jester,Stealth,21.0,18.0,0.0
2,03:07:31,Caleb,Stealth,12.0,11.0,0.0
2,03:09:14,Jester,Perception,1.0,1.0,0.0
2,03:09:14,Nott,Perception,19.0,19.0,0.0
2,03:09:14,Molly,Perception,12.0,9.0,0.0
2,03:09:14,Fjord,Perception,9.0,9.0,0.0
2,03:09:14,Beau,Perception,18.0,15.0,0.0
2,03:09:14,Caleb,Perception,10.0,7.0,0.0
2,03:10:55,Molly,Intelligence,17.0,17.0,0.0
2,03:12:44,Jester,Performance,4.0,3.0,0.0
2,03:13:38,Nott,Stealth,13.0,5.0,0.0
2,03:13:38,Fjord,Stealth,9.0,9.0,0.0
2,03:13:38,Beau,Stealth,9.0,3.0,0.0
2,03:13:38,Molly,Stealth,7.0,4.0,0.0
2,03:13:38,Jester,Stealth,19.0,16.0,0.0
2,03:13:38,Caleb,Stealth,15.0,14.0,0.0
2,03:15:48,Nott,Deception,0.0,3.0,0.0
2,03:15:48,Nott,Deception,4.0,7.0,0.0
2,03:17:42,Caleb,Deception,20.0,20.0,0.0
2,03:22:18,Fjord,Deception,13.0,7.0,0.0
2,03:24:44,Caleb,Religion,10.0,,0.0
2,03:25:11,Fjord,Investigation,16.0,12.0,0.0
2,03:25:11,Caleb,Investigation,10.0,4.0,0.0
2,03:25:55,Fjord,Religion,10.0,8.0,0.0
2,03:27:18,Beau,Stealth,21.0,15.0,0.0
2,03:27:18,Molly,Stealth,17.0,14.0,0.0
2,03:27:18,Jester,Stealth,18.0,15.0,0.0
