First;# Times Cast_1
Alarm;276
Disguise Self;201
Cure Wounds;132
Detect Magic;107
Identify;83
Guiding Bolt;62
Bless;50
Command;43
Healing Word;39
Mage Armor;28
Shield;28
Comprehend Languages;27
Find Familiar;25
Bane;23
Feather Fall;23
Inflict Wounds;23
Silent Image;21
Magic Missile;20
Armor of Agathys;18
Hellish Rebuke;18
Hex;18
Charm Person;16
Tasha's Hideous Laughter;15
Create or Destroy Water;13
Chromatic Orb;12
Expeditious Retreat;12
Gift of Alacrity;10
Divine Smite;8
Witch Bolt;6
Detect Evil and Good;5
Speak with Animals;5
Unknown;5
Unseen Servant;5
Faerie Fire;4
Burning Hands;3
Sanctuary;3
Sleep;3
Catapult;2
Goodberry;2
Grease;2
Protection from Evil and Good;2
Ceremony;1
False Life;1
Fog Cloud;1
Ray of Sickness;1
Searing Smite;1
Shield of Faith;1
Thunderwave;1
Wrathful Smite;1
