Second;Times Cast
Pass Without a Trace;47
Invisibility;42
Locate Object;41
Spiritual Weapon;38
Prayer of Healing;37
Fortune's Favor;36
See Invisibility;30
Scorching Ray;26
Enhance Ability;25
Misty Step;20
Brenatto's Voltaic Bolt;16
Enlarge/Reduce;15
Phantasmal Force;15
Blindness/Deafness;11
Levitate;11
Gentle Repose;9
Hold Person;9
Lesser Restoration;9
Maximilian's Earthen Grasp;9
Suggestion;9
Mirror Image;8
Ray of Enfeeblement;8
Calm Emotions;7
Knock;6
Melf's Acid Arrow;6
Blur;5
Spider Climb;5
Zone of Truth;5
Gust of Wind;4
Enthrall;3
Silence;3
Aid;2
Crown of Madness;2
Find Traps;2
Flaming Sphere;2
Protection from Poison;2
Dragon's Breath;1
Immovable Object;1
Magic Mouth;1
